,Pair,Date,Time,Open,High,Low,Close,minute
59,AUDUSD,20160104,0000,0.7286,0.7294,0.7283,0.7294,0
119,AUDUSD,20160104,0100,0.7293,0.7299,0.7282,0.7283,0
179,AUDUSD,20160104,0200,0.7283,0.7288,0.727,0.7274,0
239,AUDUSD,20160104,0300,0.7275,0.7277,0.7212,0.7222,0
299,AUDUSD,20160104,0400,0.7223,0.7228,0.7206,0.7226,0
359,AUDUSD,20160104,0500,0.7226,0.7233,0.7224,0.7227,0
419,AUDUSD,20160104,0600,0.7227,0.7232,0.7223,0.7224,0
479,AUDUSD,20160104,0700,0.7223,0.7228,0.7206,0.7215,0
539,AUDUSD,20160104,0800,0.7215,0.7218,0.7198,0.7205,0
599,AUDUSD,20160104,0900,0.7206,0.7216,0.7197,0.7215,0
659,AUDUSD,20160104,1000,0.7216,0.7223,0.7205,0.7216,0
719,AUDUSD,20160104,1100,0.7215,0.722,0.721,0.7214,0
779,AUDUSD,20160104,1200,0.7214,0.722,0.7209,0.7211,0
839,AUDUSD,20160104,1300,0.7212,0.7216,0.7201,0.7203,0
899,AUDUSD,20160104,1400,0.7202,0.7204,0.7193,0.7195,0
959,AUDUSD,20160104,1500,0.7194,0.7195,0.718,0.7185,0
1019,AUDUSD,20160104,1600,0.7186,0.7187,0.7177,0.7184,0
1079,AUDUSD,20160104,1700,0.7183,0.7185,0.7163,0.7164,0
1139,AUDUSD,20160104,1800,0.7165,0.7167,0.7154,0.7164,0
1199,AUDUSD,20160104,1900,0.7164,0.7177,0.716,0.7176,0
1259,AUDUSD,20160104,2000,0.7176,0.7182,0.7171,0.7182,0
1319,AUDUSD,20160104,2100,0.7181,0.7183,0.7177,0.7181,0
1379,AUDUSD,20160104,2200,0.718,0.7187,0.718,0.7187,0
1439,AUDUSD,20160104,2300,0.7188,0.7195,0.7187,0.7189,0
1499,AUDUSD,20160105,0000,0.7189,0.7189,0.7173,0.7178,0
1559,AUDUSD,20160105,0100,0.7179,0.7183,0.7177,0.7182,0
1619,AUDUSD,20160105,0200,0.7183,0.7190000000000001,0.718,0.7181,0
1679,AUDUSD,20160105,0300,0.7181,0.7211,0.7181,0.721,0
1739,AUDUSD,20160105,0400,0.7211,0.7211,0.72,0.7207,0
1799,AUDUSD,20160105,0500,0.7207,0.7213,0.7197,0.7198,0
1859,AUDUSD,20160105,0600,0.7198,0.721,0.7198,0.7207,0
1919,AUDUSD,20160105,0700,0.7208,0.7209,0.7191,0.7198,0
1979,AUDUSD,20160105,0800,0.7198,0.7208,0.7188,0.7203,0
2039,AUDUSD,20160105,0900,0.7203,0.7208,0.72,0.7205,0
2099,AUDUSD,20160105,1000,0.7205,0.721,0.7184,0.7186,0
2159,AUDUSD,20160105,1100,0.7187,0.7189,0.7172,0.7175,0
2219,AUDUSD,20160105,1200,0.7174,0.7177,0.7165,0.7169,0
2279,AUDUSD,20160105,1300,0.7168,0.7172,0.7164,0.7170000000000001,0
2339,AUDUSD,20160105,1400,0.7170000000000001,0.7173,0.7163,0.7164,0
2399,AUDUSD,20160105,1500,0.7165,0.7174,0.7164,0.7169,0
2459,AUDUSD,20160105,1600,0.7168,0.7170000000000001,0.7151,0.7151,0
2519,AUDUSD,20160105,1700,0.7152,0.7152,0.7131,0.7132,0
2579,AUDUSD,20160105,1800,0.7131,0.715,0.7131,0.7147,0
2639,AUDUSD,20160105,1900,0.7148,0.7148,0.7139,0.7145,0
2699,AUDUSD,20160105,2000,0.7144,0.7147,0.7140000000000001,0.7146,0
2759,AUDUSD,20160105,2100,0.7146,0.7152,0.7145,0.715,0
2819,AUDUSD,20160105,2200,0.7151,0.7162,0.7149,0.7161,0
2879,AUDUSD,20160105,2300,0.7162,0.7165,0.7156,0.7159,0
2939,AUDUSD,20160106,0000,0.716,0.7163,0.7157,0.7159,0
2999,AUDUSD,20160106,0100,0.7158,0.7167,0.7158,0.7158,0
3058,AUDUSD,20160106,0200,0.7157,0.7170000000000001,0.7157,0.7167,0
3118,AUDUSD,20160106,0300,0.7168,0.7169,0.7121,0.7125,0
3178,AUDUSD,20160106,0400,0.7126,0.7127,0.7108,0.7108,0
3238,AUDUSD,20160106,0500,0.7107,0.713,0.7105,0.7126,0
3298,AUDUSD,20160106,0600,0.7126,0.713,0.7121,0.7123,0
3358,AUDUSD,20160106,0700,0.7123,0.7129,0.7116,0.7119,0
3418,AUDUSD,20160106,0800,0.7118,0.7119,0.71,0.7105,0
3478,AUDUSD,20160106,0900,0.7105,0.711,0.7093,0.7107,0
3538,AUDUSD,20160106,1000,0.7108,0.7108,0.7074,0.7084,0
3598,AUDUSD,20160106,1100,0.7083,0.7083,0.7056,0.7076,0
3658,AUDUSD,20160106,1200,0.7075,0.7076,0.706,0.7065,0
3718,AUDUSD,20160106,1300,0.7064,0.7083,0.7062,0.708,0
3778,AUDUSD,20160106,1400,0.7079,0.7084,0.7068,0.7071,0
3838,AUDUSD,20160106,1500,0.7071,0.7084,0.7057,0.708,0
3898,AUDUSD,20160106,1600,0.7079,0.7092,0.7075,0.7088,0
3958,AUDUSD,20160106,1700,0.7087,0.7089,0.706,0.706,0
4018,AUDUSD,20160106,1800,0.7059,0.7073,0.7059,0.7067,0
4078,AUDUSD,20160106,1900,0.7068,0.7068,0.7051,0.7054,0
4138,AUDUSD,20160106,2000,0.7055,0.7055,0.7047,0.705,0
4198,AUDUSD,20160106,2100,0.7051,0.7073,0.7051,0.7058,0
4258,AUDUSD,20160106,2200,0.7057,0.7065,0.7053,0.7064,0
4318,AUDUSD,20160106,2300,0.7065,0.7071,0.7061,0.7070000000000001,0
4378,AUDUSD,20160107,0000,0.7070000000000001,0.7071,0.7062,0.7063,0
4438,AUDUSD,20160107,0100,0.7062,0.7084,0.7062,0.7077,0
4497,AUDUSD,20160107,0200,0.7077,0.7084,0.7066,0.7072,0
4557,AUDUSD,20160107,0300,0.7073,0.7083,0.7023,0.7027,0
4617,AUDUSD,20160107,0400,0.7028,0.7045,0.7023,0.7036,0
